FCST Error Test,FCST Error Train,FCST Total Cost Test,FCST Total Cost Train,total_cost,estimated_cost,membership_id
0.0,0.0,0.0,0.013377428,0.0,0.013377428,152682
0.0,0.0,0.0,70.574165,155.00000000000003,70.574165,19014
0.0,0.0,0.0,781.489,752.8500000000003,781.489,334540
0.0,0.0,0.0,0.013377428,0.0,0.013377428,123381
0.0,0.0,0.0,70.58491,53.00000000000003,70.58491,287333
0.0,0.0,0.0,43.26789,54.00000000000001,43.26789,584
0.0,0.0,0.0,166.64613,211.99999999999997,166.64613,81558
0.0,0.0,0.0,151.64142,106.0,151.64142,4075
0.0,0.0,0.0,101.21155,70.00000000000001,101.21155,23218
0.0,0.0,0.0,0.013377428,0.0,0.013377428,24440
0.0,0.0,0.0,219.03568,179.99999999999997,219.03568,57493
0.0,0.0,0.0,209.38176,280.99999999999994,209.38176,197061
0.0,0.0,0.0,0.013377428,0.0,0.013377428,11209
0.0,0.0,0.0,237.75381,225.99999999999997,237.75381,443199
0.0,0.0,0.0,37.42916,33.000000000000014,37.42916,120202
0.0,0.0,0.0,592.51526,809.8500000000001,592.51526,25179
0.0,0.0,0.0,54.959316,58.849999999999994,54.959316,477223
0.0,0.0,0.0,136.92763,137.49999999999997,136.92763,187389
0.0,0.0,0.0,85.25053,106.0,85.25053,7927
0.0,0.0,0.0,137.87767,82.43,137.87767,14058
0.0,0.0,0.0,69.80837,56.0,69.80837,88688
0.0,0.0,0.0,63.84961,58.849999999999994,63.84961,56957
0.0,0.0,0.0,89.86124,85.99999999999999,89.86124,7803
0.0,0.0,0.0,556.5665,742.0000000000001,556.5665,7252
0.0,0.0,0.0,0.013377428,0.0,0.013377428,18279
0.0,0.0,0.0,142.12656,159.0,142.12656,7832
0.0,0.0,0.0,104.41652,106.0,104.41652,194784
0.0,0.0,0.0,232.33862,240.00000000000006,232.33862,19463
0.0,0.0,0.0,135.5035,107.00000000000001,135.5035,52522
0.0,0.0,0.0,280.48093,270.8499999999999,280.48093,24730
0.0,0.0,0.0,57.791264,53.00000000000003,57.791264,87071
0.0,0.0,0.0,0.013377428,0.0,0.013377428,196667
0.0,0.0,0.0,-0.047070622,0.0,-0.047070622,198258
0.0,0.0,0.0,134.20935,106.0,134.20935,199240
0.0,0.0,0.0,0.02414751,0.0,0.02414751,27176
